time_of_day,day_of_week,is_holiday,weather_temp,density_status
11,1,0,16,GREEN
18,5,0,37,YELLOW
13,1,0,32,GREEN
8,0,0,34,GREEN
16,6,0,26,YELLOW
8,4,0,37,GREEN
12,3,0,18,GREEN
11,1,0,37,GREEN
19,4,1,30,YELLOW
10,0,0,37,GREEN
13,6,0,30,YELLOW
9,2,0,15,GREEN
10,5,0,36,YELLOW
12,4,0,39,GREEN
16,4,0,16,GREEN
9,2,0,44,GREEN
17,4,0,17,GREEN
15,0,0,40,GREEN
9,0,0,35,GREEN
18,2,0,39,GREEN
12,5,0,34,YELLOW
14,3,0,31,YELLOW
15,1,0,34,GREEN
8,3,0,36,GREEN
13,4,0,35,GREEN
8,1,0,44,GREEN
9,2,1,43,GREEN
8,2,0,15,GREEN
18,5,1,34,RED
12,1,0,20,GREEN
17,0,0,43,GREEN
16,1,0,29,YELLOW
13,4,0,40,GREEN
18,0,0,40,GREEN
18,6,1,28,RED
8,6,1,34,RED
8,6,0,29,GREEN
9,2,0,28,GREEN
16,1,1,39,YELLOW
10,6,0,35,GREEN
8,3,0,38,GREEN
12,5,0,39,GREEN
14,3,0,40,GREEN
13,6,1,19,RED
19,5,0,20,GREEN
8,4,0,31,GREEN
12,3,0,25,GREEN
12,1,0,30,GREEN
13,1,0,26,YELLOW
10,3,0,29,GREEN
12,6,0,37,RED
14,1,0,18,GREEN
12,4,0,41,GREEN
12,0,1,32,YELLOW
12,6,0,35,YELLOW
17,4,0,42,GREEN
17,5,0,17,GREEN
10,4,1,36,GREEN
8,6,0,22,YELLOW
12,5,0,37,RED
16,6,0,17,YELLOW
8,1,0,22,GREEN
10,0,0,32,GREEN
11,6,0,24,YELLOW
8,6,0,39,GREEN
8,1,0,34,GREEN
15,2,0,31,GREEN
9,1,0,22,GREEN
19,5,0,37,GREEN
15,1,0,25,GREEN
14,1,0,43,GREEN
17,0,0,19,GREEN
17,1,0,40,GREEN
9,6,0,27,GREEN
13,0,0,35,GREEN
13,3,0,37,GREEN
10,2,0,19,GREEN
18,0,0,38,GREEN
9,5,0,41,GREEN
19,3,0,27,GREEN
8,0,1,20,YELLOW
13,0,0,43,GREEN
19,2,0,19,GREEN
12,6,1,23,RED
18,5,0,41,GREEN
16,4,0,30,GREEN
8,4,0,16,GREEN
14,0,0,15,YELLOW
12,1,0,22,GREEN
12,5,0,42,YELLOW
9,3,0,33,GREEN
18,1,0,44,GREEN
10,1,0,25,GREEN
14,5,0,42,YELLOW
13,6,0,26,YELLOW
19,0,0,26,GREEN
9,0,0,21,GREEN
13,0,1,40,GREEN
9,0,0,27,GREEN
9,4,0,41,GREEN
9,0,1,22,GREEN
18,4,0,43,GREEN
10,4,0,43,GREEN
9,6,0,36,YELLOW
11,0,1,42,YELLOW
16,2,0,40,GREEN
13,3,0,44,GREEN
8,1,0,23,GREEN
15,4,0,21,GREEN
19,5,0,40,GREEN
14,5,0,35,RED
17,3,0,38,GREEN
10,5,0,29,GREEN
8,2,0,16,GREEN
12,5,0,37,YELLOW
11,1,0,34,GREEN
17,1,0,39,GREEN
15,4,0,26,YELLOW
8,0,0,15,GREEN
17,6,0,37,GREEN
8,2,0,36,GREEN
19,4,0,22,GREEN
11,2,0,19,GREEN
15,0,0,29,GREEN
12,5,0,15,YELLOW
9,5,0,15,GREEN
13,6,0,39,YELLOW
12,0,0,24,GREEN
9,4,0,36,GREEN
18,6,0,24,GREEN
18,0,0,35,GREEN
18,3,0,29,GREEN
10,1,0,31,GREEN
16,6,0,36,GREEN
14,6,0,20,YELLOW
14,4,0,17,YELLOW
18,2,0,27,GREEN
13,3,0,30,GREEN
15,4,0,22,GREEN
11,0,0,44,GREEN
15,0,0,29,GREEN
11,0,1,31,RED
15,0,0,31,YELLOW
16,2,0,36,GREEN
10,3,0,40,GREEN
10,5,0,27,GREEN
18,1,0,31,GREEN
9,2,1,20,GREEN
17,2,0,31,GREEN
10,5,0,30,GREEN
10,5,0,28,GREEN
12,1,0,27,GREEN
12,1,0,20,GREEN
9,5,0,17,GREEN
19,0,0,28,GREEN
17,2,0,28,GREEN
13,4,0,29,GREEN
12,1,0,22,YELLOW
13,1,0,43,GREEN
8,5,0,29,GREEN
12,3,0,36,GREEN
16,4,1,43,YELLOW
19,4,0,41,GREEN
17,1,1,27,GREEN
9,0,0,31,GREEN
8,3,0,35,GREEN
17,4,0,38,GREEN
18,1,1,17,GREEN
16,4,0,42,GREEN
17,6,0,20,GREEN
16,3,0,19,GREEN
16,3,0,36,GREEN
13,6,0,40,YELLOW
15,2,0,31,GREEN
18,6,1,37,YELLOW
8,5,0,39,GREEN
17,5,0,16,YELLOW
11,1,0,40,GREEN
8,3,0,29,GREEN
15,2,0,19,GREEN
8,2,0,40,GREEN
10,4,0,34,GREEN
11,4,1,20,RED
15,6,1,20,RED
13,2,0,41,GREEN
17,6,1,32,RED
19,6,0,32,YELLOW
14,4,0,18,GREEN
15,3,0,31,GREEN
9,6,0,39,GREEN
17,0,0,28,GREEN
18,3,0,28,GREEN
15,2,0,27,GREEN
10,2,0,21,GREEN
14,6,0,26,RED
10,3,0,37,GREEN
14,4,1,29,RED
18,4,0,33,GREEN
19,5,0,25,GREEN
9,2,0,29,GREEN
17,1,0,26,GREEN
13,5,0,17,RED
10,4,0,31,GREEN
10,3,0,17,GREEN
16,4,1,33,YELLOW
14,3,0,34,YELLOW
12,5,0,18,YELLOW
19,2,0,17,GREEN
17,4,1,40,GREEN
14,6,0,30,RED
16,3,0,26,YELLOW
8,2,0,22,GREEN
14,1,0,38,GREEN
13,3,0,43,GREEN
17,5,0,43,GREEN
19,1,0,31,GREEN
16,1,0,21,GREEN
8,0,0,25,GREEN
11,4,1,32,YELLOW
16,3,1,15,YELLOW
11,1,0,17,GREEN
17,0,0,18,GREEN
10,5,0,27,GREEN
16,2,0,20,GREEN
9,6,0,40,GREEN
11,6,0,28,YELLOW
13,3,0,19,GREEN
9,1,1,30,YELLOW
15,6,0,29,YELLOW
15,4,0,29,YELLOW
8,6,0,44,GREEN
19,6,0,18,YELLOW
10,6,0,22,GREEN
17,0,0,41,GREEN
16,1,0,30,GREEN
12,4,0,42,GREEN
13,1,0,30,GREEN
11,3,0,44,GREEN
17,3,0,18,GREEN
9,3,0,27,GREEN
18,5,0,40,GREEN
15,6,0,42,YELLOW
18,5,0,27,GREEN
13,0,0,16,GREEN
12,3,0,17,GREEN
16,4,0,36,GREEN
8,1,1,22,GREEN
12,6,0,38,YELLOW
13,2,1,29,RED
12,4,1,25,YELLOW
13,6,0,23,YELLOW
13,5,0,21,YELLOW
14,5,0,27,YELLOW
11,4,0,16,GREEN
18,5,0,22,YELLOW
15,3,0,21,YELLOW
14,0,0,38,YELLOW
16,1,0,26,YELLOW
14,0,0,33,GREEN
10,6,0,21,GREEN
10,1,1,24,YELLOW
15,1,0,43,GREEN
12,0,0,39,GREEN
11,4,0,30,GREEN
15,1,0,17,GREEN
13,0,1,44,YELLOW
9,1,0,24,GREEN
11,2,1,20,RED
19,4,0,32,GREEN
18,3,0,32,GREEN
11,1,0,19,YELLOW
13,2,0,35,YELLOW
13,3,1,43,YELLOW
8,3,0,21,GREEN
15,6,0,42,YELLOW
13,1,0,16,GREEN
10,0,0,25,GREEN
16,1,0,44,GREEN
9,2,0,27,GREEN
18,3,0,37,GREEN
15,1,0,19,GREEN
17,0,0,44,GREEN
10,6,0,20,YELLOW
19,1,0,38,GREEN
12,4,1,40,YELLOW
13,6,0,43,YELLOW
17,0,0,28,GREEN
13,2,0,26,GREEN
11,3,0,18,GREEN
10,1,0,43,GREEN
11,0,0,37,GREEN
8,6,0,20,GREEN
11,4,0,24,GREEN
8,0,0,32,GREEN
19,5,0,29,GREEN
8,4,0,22,GREEN
17,6,0,40,GREEN
13,2,0,23,GREEN
12,3,0,19,GREEN
18,6,0,24,YELLOW
11,2,0,34,GREEN
18,1,0,20,GREEN
10,0,0,30,GREEN
8,5,0,38,GREEN
13,4,0,41,GREEN
9,4,0,17,GREEN
15,0,0,24,GREEN
17,5,0,25,YELLOW
12,0,0,25,GREEN
14,1,0,31,GREEN
17,2,0,18,GREEN
19,6,0,18,GREEN
9,4,1,31,YELLOW
15,1,0,23,YELLOW
9,2,0,33,GREEN
11,1,0,19,GREEN
8,5,0,36,GREEN
12,4,0,38,YELLOW
16,6,0,20,GREEN
8,0,0,17,GREEN
